key,district_lbl,priority,gi_z,gi_p,hotspot,lisa_quadrant,lisa_p
01027,Ciutat Vella,0.0,-0.11422968809076225,0.9090557182410712,ns,ns,0.968
07093,Horta-Guinardo,0.0017138081286154308,-0.1145716382225592,0.9087846610597918,ns,ns,0.833
08022,Nou Barris,0.001113228293755677,-0.11657446424145997,0.9071972743108097,ns,ns,0.904
04025,Les Corts,0.0,-0.11782102150161275,0.9062094728107566,ns,ns,0.978
10114,Sant Marti,0.00012079892911535913,-0.11927756848867606,0.9050554543678473,ns,ns,0.993
05095,Sarria-Sant Gervasi,0.0005759647409410763,-0.11965378949365651,0.9047574079117702,ns,ns,0.956
06070,Gracia,0.0008288030177820576,-0.12265420777760858,0.9023809268715899,ns,ns,0.922
01034,Ciutat Vella,6.829621434083909e-05,-0.12742756040865594,0.8986020039896598,ns,ns,0.999
05023,Sarria-Sant Gervasi,0.001652768387048306,-0.13113689202275072,0.895667017532261,ns,ns,0.836
05026,Sarria-Sant Gervasi,0.0019151396771410294,-0.1317523780905253,0.8951801548603047,ns,ns,0.789
10133,Sant Marti,0.0033117972604111887,-0.13308335514203212,0.894127458718881,ns,ns,0.662
03211,Sants-Montjuic,0.0005605980927143875,-0.13554475559445683,0.8921811808870435,ns,ns,0.927
05058,Sarria-Sant Gervasi,0.00011610356437942644,-0.14304930481189151,0.8862512419600554,ns,ns,0.97
05046,Sarria-Sant Gervasi,0.00010244432151125863,-0.14445317145783487,0.8851426322938325,ns,ns,0.952
05010,Sarria-Sant Gervasi,0.00043083528546679323,-0.14530639670787504,0.8844689644861892,ns,ns,0.942
07090,Horta-Guinardo,0.0,-0.15038289973166066,0.8804625318821524,ns,ns,0.96
05035,Sarria-Sant Gervasi,0.0003844507732269734,-0.15136363046861714,0.8796888775450924,ns,ns,0.93
01013,Ciutat Vella,0.0,-0.15192201088575785,0.8792484476239493,ns,ns,0.969
03012,Sants-Montjuic,0.0017863728563525722,-0.15252738884152092,0.8787709899877141,ns,ns,0.784
09045,Sant Andreu,0.00018895285967632147,-0.15576907392029155,0.87621504845448,ns,ns,0.963
09019,Sant Andreu,0.0002647901143506282,-0.1557817927869861,0.8762050226510547,ns,ns,0.924
02040,Eixample,0.003649578953838589,-0.15723561617596868,0.875059159748032,ns,ns,0.628
03064,Sants-Montjuic,0.0,-0.15831528446605084,0.874208364763964,ns,ns,0.951
