key,district_lbl,cluster,mature_density,pop_density,income,mean_sealed,mean_ndvi,archetype,action
02001,Eixample,2,121.22861309045969,8575.329262819885,26675.083752131228,0.7340843604404591,0.12320948562714393,high-source / low-pop / lower-income,defer (park-like)
05001,Sarria-Sant Gervasi,2,0.0,238.1259624392301,29936.26919231082,0.241625316573679,0.2933615590760075,high-source / low-pop / lower-income,defer (park-like)
06001,Gracia,1,17.635483050780607,23084.847313471815,30037.699218904963,0.7892559305256633,0.1134728622903237,low-source / high-pop / lower-income,monitor
10001,Sant Marti,1,150.06878437832637,49642.75387235036,22505.602003659493,0.8704287939382113,0.09279448237144791,low-source / high-pop / lower-income,monitor
08001,Nou Barris,2,170.43602453556713,71810.37833765229,20200.353507109798,0.6489674730108663,0.152370127606067,high-source / low-pop / lower-income,defer (park-like)
03001,Sants-Montjuic,1,309.9799382087734,75767.95346788732,19874.37257667146,0.8817419408412975,0.08138407522353554,low-source / high-pop / lower-income,monitor
01001,Ciutat Vella,2,255.67069210129472,6272.748187243835,16718.551367043186,0.6847837697089629,0.08554338440868342,high-source / low-pop / lower-income,defer (park-like)
09001,Sant Andreu,2,58.260945701517535,11797.8415045573,11728.771921233123,0.6227614598199437,0.11077805671451595,high-source / low-pop / lower-income,defer (park-like)
04001,Les Corts,0,421.8176679805638,52895.9355647627,30898.49458982474,0.8674446022578763,0.1215903876411261,high-source / low-pop / higher-income,defer (park-like)
07001,Horta-Guinardo,1,198.18711991658154,61992.9311099067,26419.870255761325,0.8523699558199769,0.08185422333049987,low-source / high-pop / lower-income,monitor
06002,Gracia,1,0.0,54289.63775079208,28268.076357161786,0.8133794686422011,0.10603448816047087,low-source / high-pop / lower-income,monitor
02002,Eixample,1,309.64553101846286,148573.5557014043,27747.13501789056,0.8522281806979567,0.11479963036052653,low-source / high-pop / lower-income,monitor
07002,Horta-Guinardo,1,228.1767165689503,22817.67165689503,25518.47787966933,0.8173773889469949,0.09427424399305138,low-source / high-pop / lower-income,monitor
10002,Sant Marti,1,81.6581080455884,39583.76787509898,22830.198508881127,0.8768083157126088,0.07928779479594802,low-source / high-pop / lower-income,monitor
05002,Sarria-Sant Gervasi,3,0.8031566097549544,664.2105162673473,45135.438758535376,0.19731599230097216,0.2852930614532927,high-source / low-pop / higher-income,defer (park-like)
09002,Sant Andreu,2,179.8100402794124,59414.37473804012,12776.085776149013,0.6603639442748195,0.12348109715834417,high-source / low-pop / lower-income,defer (park-like)
04002,Les Corts,1,286.81795469043783,60422.98245478557,29890.50328542807,0.8342494934997626,0.10261605118607355,low-source / high-pop / lower-income,monitor
01002,Ciutat Vella,1,185.399953613169,37344.847799224044,13972.33526887483,0.8471456330540027,0.11897908143550644,low-source / high-pop / lower-income,monitor
03002,Sants-Montjuic,1,0.0,66337.21652872291,20233.279867709112,0.8758279310200181,0.07276603927652442,low-source / high-pop / lower-income,monitor
08002,Nou Barris,2,92.0467223474465,41482.38953791589,24730.09754333556,0.7172135897837439,0.13531830723951271,high-source / low-pop / lower-income,defer (park-like)
08003,Nou Barris,1,50.78099696796981,65355.14309777715,22580.71978851166,0.8201191344469884,0.09959412930224555,low-source / high-pop / lower-income,monitor
03003,Sants-Montjuic,1,516.9491144068386,76038.51519184226,20329.164080609193,0.8742479681968689,0.07046367982560696,low-source / high-pop / lower-income,monitor
04003,Les Corts,1,376.66579462080153,67234.84433981308,30656.36853602853,0.859470921677617,0.11703262886957275,low-source / high-pop / lower-income,monitor
02003,Eixample,0,481.55083168193414,31697.375332475545,25211.38427648596,0.7206070961841872,0.10038294164227986,high-source / low-pop / higher-income,defer (park-like)
09003,Sant Andreu,1,0.0,83682.93439163727,12650.210645369249,0.7019817501887886,0.11374534857477231,low-source / high-pop / lower-income,monitor
05003,Sarria-Sant Gervasi,3,1.2294505945773357,1601.9741247342683,42654.80828778549,0.17440698212330316,0.261513067734046,high-source / low-pop / higher-income,defer (park-like)
10003,Sant Marti,1,32.85701222035454,53622.64394361861,22668.248314207456,0.8742069618747584,0.08133063030493706,low-source / high-pop / lower-income,monitor
01003,Ciutat Vella,1,97.579807251983,93408.27049196072,15559.510816547649,0.8499135479732572,0.08997508481042153,low-source / high-pop / lower-income,monitor
07003,Horta-Guinardo,0,876.8203158332071,90582.28339723055,25963.359136761883,0.8490047876843575,0.11369076056269034,high-source / low-pop / higher-income,defer (park-like)
06003,Gracia,2,0.0,58175.27318772243,27979.6858244714,0.5780373585988564,0.17195741229713926,high-source / low-pop / lower-income,defer (park-like)
08004,Nou Barris,1,82.89289751384248,63744.63818814487,18014.225402771768,0.838349687224906,0.10204083535353638,low-source / high-pop / lower-income,monitor
03004,Sants-Montjuic,1,287.0455114573137,49244.252187788035,20329.164080609193,0.8742479681968689,0.07046367982560696,low-source / high-pop / lower-income,monitor
07004,Horta-Guinardo,1,248.99679466908185,79031.58262796658,24220.077955014913,0.7629092796394707,0.10769443710556754,low-source / high-pop / lower-income,monitor
09004,Sant Andreu,2,68.49007444256642,62908.133375497266,14465.31268250427,0.6330469968040973,0.12436674112478784,high-source / low-pop / lower-income,defer (park-like)
05004,Sarria-Sant Gervasi,3,4.170647779281837,1462.5071546014976,53066.83646066674,0.3126809570476008,0.19613275161063812,high-source / low-pop / higher-income,defer (park-like)
10004,Sant Marti,1,127.63127454176805,51339.68018442619,22090.61481316237,0.8635359170924395,0.10258547220910325,low-source / high-pop / lower-income,monitor
04004,Les Corts,1,347.72118588578167,73855.97988214003,29778.946624219392,0.8336838825643578,0.10149906876763125,low-source / high-pop / lower-income,monitor
01004,Ciutat Vella,1,155.02262692980355,32007.005040106775,14232.161066675939,0.8622462979712527,0.0972255153766166,low-source / high-pop / lower-income,monitor
06004,Gracia,2,0.0,10344.190272406891,26649.284151742748,0.5139472523282907,0.18341767531111236,high-source / low-pop / lower-income,defer (park-like)
02004,Eixample,1,221.67217121459635,82794.55594865174,27036.81344144378,0.8515009273141367,0.10755639601832287,low-source / high-pop / lower-income,monitor
04005,Les Corts,1,213.48338512843952,64952.31992532773,27453.061879339988,0.8699583469989565,0.09341180233299197,low-source / high-pop / lower-income,monitor
05005,Sarria-Sant Gervasi,3,48.62838342150259,1240.519985242413,49360.915521504474,0.24165532404121054,0.2215278070666346,high-source / low-pop / higher-income,defer (park-like)
03005,Sants-Montjuic,2,249.1578455462181,13976.568669211663,19709.174367430453,0.6534917290543302,0.16730548271181025,high-source / low-pop / lower-income,defer (park-like)
09005,Sant Andreu,2,8.480436845012443,4282.620606731284,15550.389452822375,0.6716655430598588,0.10595399801286184,high-source / low-pop / lower-income,defer (park-like)
01005,Ciutat Vella,1,297.3133020547533,42664.4588448571,14688.840131650664,0.857881988939485,0.09735319919928118,low-source / high-pop / lower-income,monitor
10005,Sant Marti,1,137.41074445825416,36505.45444440952,23451.879923051998,0.867915381390912,0.0952847069917735,low-source / high-pop / lower-income,monitor
07005,Horta-Guinardo,1,391.3096458543191,51688.446856938695,24146.07238120136,0.7589370608329773,0.10743515804475465,low-source / high-pop / lower-income,monitor
02005,Eixample,1,276.6300710497196,111896.8637396116,27478.895448738152,0.8832007646560669,0.1092936615176768,low-source / high-pop / lower-income,monitor
08005,Nou Barris,1,72.22751501172854,41097.45604167354,18764.151504060224,0.8456281374886142,0.09780541279998783,low-source / high-pop / lower-income,monitor
02006,Eixample,0,1060.709161251955,45470.92693893249,29223.897214754656,0.8244666861498388,0.13230742787374197,high-source / low-pop / higher-income,defer (park-like)
05006,Sarria-Sant Gervasi,3,76.5429586767173,5319.735628031853,49568.613704975556,0.43867446058649173,0.205772195957197,high-source / low-pop / higher-income,defer (park-like)
10006,Sant Marti,1,105.48742286217818,66808.70114604618,24826.860432422476,0.8742894485989986,0.09861032388031293,low-source / high-pop / lower-income,monitor
03006,Sants-Montjuic,2,199.884313586341,72008.32396947934,19342.68066013293,0.5885768203068018,0.22298258283354427,high-source / low-pop / lower-income,defer (park-like)
01006,Ciutat Vella,1,0.0,49104.86222827839,15077.294278567044,0.8644919182442072,0.08242827675657748,low-source / high-pop / lower-income,monitor
09006,Sant Andreu,2,0.0,30071.45846854772,14677.312956403497,0.6605819990117503,0.12580226982815965,high-source / low-pop / lower-income,defer (park-like)
07006,Horta-Guinardo,1,349.5272769270973,23867.719767307502,24301.590536129013,0.765404579438195,0.10566755804811663,low-source / high-pop / lower-income,monitor
08006,Nou Barris,1,129.61007103069528,44300.72227829165,21520.187481982015,0.8708941340446472,0.08196733255064828,low-source / high-pop / lower-income,monitor
04006,Les Corts,1,122.70533844397409,72273.44434350074,26682.40587267535,0.8736262514360245,0.09739294203499084,low-source / high-pop / lower-income,monitor
06006,Gracia,2,316.58237647285085,5762.872412404099,31881.368475877927,0.7053311834947855,0.1433965690428972,high-source / low-pop / lower-income,defer (park-like)
04007,Les Corts,1,192.26333993286676,42451.74545717698,29021.36190897964,0.843609672063417,0.10255016064354429,low-source / high-pop / lower-income,monitor
07007,Horta-Guinardo,1,187.02188224444544,52291.318275546946,25442.59051305726,0.7915590115742895,0.09782340989592539,low-source / high-pop / lower-income,monitor
09007,Sant Andreu,1,21.513380525751014,7239.252546915216,16667.06930847726,0.7311456175628989,0.091114265709963,low-source / high-pop / lower-income,monitor
02007,Eixample,0,852.9051877452941,34196.16737116288,28619.349920480738,0.8796247830480572,0.11701501210526809,high-source / low-pop / higher-income,defer (park-like)
10007,Sant Marti,1,61.17538356818672,41415.73467566241,24826.0309801413,0.8748024603882781,0.09893516731711849,low-source / high-pop / lower-income,monitor
05007,Sarria-Sant Gervasi,3,102.72872898925841,10250.044292483784,51601.10857086077,0.4590349144674618,0.1784133200911111,high-source / low-pop / higher-income,defer (park-like)
03007,Sants-Montjuic,1,0.0,72962.7314588603,19390.61813320176,0.8897131595966927,0.09299992501943967,low-source / high-pop / lower-income,monitor
06007,Gracia,1,0.0,30517.52036187363,29777.591577313244,0.7685860330958474,0.12985756452860106,low-source / high-pop / lower-income,monitor
08007,Nou Barris,1,402.4447876422203,53704.02110647851,20778.402424011252,0.8630510667720261,0.09258392607553022,low-source / high-pop / lower-income,monitor
01007,Ciutat Vella,1,219.81781329047664,54001.90946502709,13631.423941362926,0.8601190364523382,0.09952907021782158,low-source / high-pop / lower-income,monitor
04008,Les Corts,1,172.98696205866534,44803.62317319432,30132.760666399558,0.8492175413314859,0.10222223886725336,low-source / high-pop / lower-income,monitor
02008,Eixample,0,878.9896409737825,48821.59605865809,27486.176926525925,0.8799015363770571,0.10982617858998588,high-source / low-pop / higher-income,defer (park-like)
08008,Nou Barris,1,40.504639086997365,66427.60810267567,21487.11939741574,0.869803749858844,0.08771078962113371,low-source / high-pop / lower-income,monitor
03008,Sants-Montjuic,1,0.0,66552.29265897885,19378.15251878486,0.8899185657501221,0.0932992477577318,low-source / high-pop / lower-income,monitor
09008,Sant Andreu,1,103.93132724613697,7104.448583896648,24310.73510081842,0.8019367428697612,0.0704064229829843,low-source / high-pop / lower-income,monitor
06008,Gracia,1,0.0,77594.20297314101,30652.989205654845,0.7654038013483548,0.13319593927154805,low-source / high-pop / lower-income,monitor
05008,Sarria-Sant Gervasi,3,93.35152778774103,6849.668351425498,51594.43166582541,0.603445770359443,0.14021757642461044,high-source / low-pop / higher-income,defer (park-like)
07008,Horta-Guinardo,1,145.75730614797206,67971.49043367097,23802.864260207807,0.7735338389688655,0.11374605778090709,low-source / high-pop / lower-income,monitor
10008,Sant Marti,1,107.8440927458255,64418.8714001731,24611.5557467286,0.8569034580069023,0.10667775645429228,low-source / high-pop / lower-income,monitor
01008,Ciutat Vella,1,169.99108433202747,96384.94481625957,13516.351250942917,0.8646448474713063,0.10630925943560239,low-source / high-pop / lower-income,monitor
06009,Gracia,3,14.341062266182012,3319.955914621136,37502.11306784433,0.3051465940798515,0.20825904591862088,high-source / low-pop / higher-income,defer (park-like)
01009,Ciutat Vella,1,267.87627816984303,91384.07889565501,15818.007788647585,0.8906802535057067,0.09243791614411748,low-source / high-pop / lower-income,monitor
07009,Horta-Guinardo,1,55.10200695213954,72569.34315596777,23709.86345400786,0.7802568721616286,0.1149408079125535,low-source / high-pop / lower-income,monitor
10009,Sant Marti,1,222.57038634471556,62468.088434083504,24949.7104871431,0.8747854261697342,0.09725305475001261,low-source / high-pop / lower-income,monitor
04009,Les Corts,1,184.379710327886,54097.00701020175,30311.324284498092,0.8577582043119811,0.10252774801884845,low-source / high-pop / lower-income,monitor
08009,Nou Barris,1,157.95903777629832,40550.34155485829,21539.89261892072,0.8676941342725941,0.10258321535708911,low-source / high-pop / lower-income,monitor
09009,Sant Andreu,2,220.58434285938858,2318.586537166462,17932.358739754123,0.7199178894068542,0.10484658480272897,high-source / low-pop / lower-income,defer (park-like)
05009,Sarria-Sant Gervasi,3,15.02478693362618,24250.006110872655,43918.984121755704,0.6252651664673611,0.1275473321004244,high-source / low-pop / higher-income,defer (park-like)
02009,Eixample,0,529.8271803704577,45485.66343480379,26172.660442213066,0.822707026321706,0.106184891594108,high-source / low-pop / higher-income,defer (park-like)
03009,Sants-Montjuic,1,328.5521330581086,68941.18925335979,19378.15251878486,0.8899185657501221,0.0932992477577318,low-source / high-pop / lower-income,monitor
10010,Sant Marti,1,255.65400061124313,57298.45288699487,24896.704883385428,0.8749150371058986,0.0979515139888616,low-source / high-pop / lower-income,monitor
04010,Les Corts,1,229.60194269409124,28864.24422440004,30604.731405432565,0.8732925840611253,0.1031770768984381,low-source / high-pop / lower-income,monitor
08010,Nou Barris,1,105.43671491963258,40101.09724110026,20899.821501003767,0.8608227834944435,0.10965430957695863,low-source / high-pop / lower-income,monitor
03010,Sants-Montjuic,1,485.48590584004785,75331.22972284742,19363.27719524107,0.8891619340657774,0.09305580062471883,low-source / high-pop / lower-income,monitor
02010,Eixample,0,872.906476529693,56187.611620832344,25137.93363215855,0.8505552347629082,0.10401197591705987,high-source / low-pop / higher-income,defer (park-like)
05010,Sarria-Sant Gervasi,1,95.87577236557514,36288.97984037019,40138.620211016176,0.7609648393903946,0.08511621325392599,low-source / high-pop / lower-income,monitor
09010,Sant Andreu,1,32.561666261464815,19612.976978155642,16041.519967229522,0.8075954476813375,0.1223905034173984,low-source / high-pop / lower-income,monitor
01010,Ciutat Vella,1,145.84923079523304,97208.51232502282,15036.77398298075,0.8810419505375735,0.09426634936739729,low-source / high-pop / lower-income,monitor
07010,Horta-Guinardo,1,237.2409111756412,44906.31532967494,24326.62139793804,0.8024051650624032,0.10858289732409919,low-source / high-pop / lower-income,monitor
06010,Gracia,2,192.4466951926434,13868.991833549835,31482.68127111177,0.6110345276262349,0.15338273009363332,high-source / low-pop / lower-income,defer (park-like)
01011,Ciutat Vella,1,214.39304179448035,101086.31920609748,15384.699646652767,0.888277748512579,0.0875057585429251,low-source / high-pop / lower-income,monitor
05011,Sarria-Sant Gervasi,3,150.20622046757904,37025.83334525823,41898.70948614821,0.7527800620184016,0.09670223653928645,high-source / low-pop / higher-income,defer (park-like)
07011,Horta-Guinardo,1,100.1442713963656,57833.31673140114,24596.27787433754,0.8772640484887609,0.11188635060375045,low-source / high-pop / lower-income,monitor
08011,Nou Barris,1,131.94782379701155,39815.25583074824,20653.706510636577,0.8581706033448494,0.1102813634135212,low-source / high-pop / lower-income,monitor
