section_rank,section_key,district,street,n_planes,n_mature,suggested_remove,example_codis
55,03107,Sants-Montjuic,C\ Numància,7,4,4,0216460AR;0216501AR;0217027AR
55,03107,Sants-Montjuic,C\ Dolors Batlle i Sunyer,6,0,0,0216813AR;0217611AR;0217628AR
56,02056,Eixample,Av Diagonal,48,30,30,0094857AR;0094866AR;0095056AR
56,02056,Eixample,Pg Sant Joan,23,17,17,0094830AR;0094936AR;0095112AR
56,02056,Eixample,C\ Mallorca,22,5,5,0094883AR;0094991AR;0095561AR
56,02056,Eixample,C\ Roger de Flor,10,2,2,0095071AR;0095268AR;0095392AR
56,02056,Eixample,C\ Provença,7,1,1,0095551AR;0096135AR;0096726AR
56,02056,Eixample,C\ Nàpols,2,0,0,0095995AR;0096457AR
56,02056,Eixample,C\ València,1,0,0,0293262AR
57,10069,Sant Marti,C\ Pallars,26,10,10,0115778AR;0115865AR;0116134AR
57,10069,Sant Marti,Av Diagonal,116,9,9,0021921AR;0023256AR;0023268AR
57,10069,Sant Marti,C\ Lope de Vega,10,2,2,0116302AR;0116782AR;0116957AR
57,10069,Sant Marti,C\ Bac de Roda,9,1,1,0115785AR;0115973AR;0117985AR
58,07103,Horta-Guinardo,Pg Vall d'Hebron,198,30,30,0209271AR;0209274AR;0209278AR
58,07103,Horta-Guinardo,C\ Germans Desvalls,50,12,12,0209262AR;0209344AR;0209352AR
58,07103,Horta-Guinardo,Pg Valldaura,15,4,4,0209306AR;0209356AR;0209449AR
58,07103,Horta-Guinardo,C\ Paulo Freire,9,3,3,0209404AR;0209638AR;0209655AR
58,07103,Horta-Guinardo,Camí Antic de Sant Llàtzer,6,1,1,0209351AR;0209678AR;0209997AR
58,07103,Horta-Guinardo,Jard Marià Cañardo i Lacasta,1,1,1,0210860AR
58,07103,Horta-Guinardo,Pl Karl Marx,1,0,0,0209974AR
59,02166,Eixample,Rda Sant Antoni,12,11,11,0091988AR;0092276AR;0092678AR
59,02166,Eixample,C\ Tamarit,12,9,9,0091960AR;0092247AR;0092314AR
59,02166,Eixample,C\ Comte d'Urgell,13,5,5,0092133AR;0092460AR;0092697AR
59,02166,Eixample,C\ Floridablanca,8,5,5,0092508AR;0093004AR;0093180AR
59,02166,Eixample,C\ Villarroel,5,3,3,0092562AR;0093725AR;0093856AR
59,02166,Eixample,C\ Comte Borrell,1,1,1,0094316AR
59,02166,Eixample,C\ Casanova,1,0,0,0092093AR
60,02078,Eixample,Pg Gràcia,63,38,38,0095042AR;0095224AR;0095344AR
60,02078,Eixample,G.V. Corts Catalanes,47,20,20,0094828AR;0094972AR;0095096AR
60,02078,Eixample,C\ Consell de Cent,23,8,8,0094784AR;0095097AR;0095563AR
60,02078,Eixample,C\ Roger de Llúria,10,5,5,0096530AR;0096670AR;0096780AR
60,02078,Eixample,C\ Diputació,3,1,1,0095726AR;0097732AR;0099307AR
60,02078,Eixample,C\ Pau Claris,5,1,1,0095862AR;0095927AR;0096990AR
