district,n,mean_resid,abs_mean_resid,max_abs_resid
SARRIÀ - SANT GERVASI,51,0.0107058317038971,0.0174176420496264,0.3339151892226442
LES CORTS,37,0.0003441447043918358,0.0011198898544772758,0.009791830466130302
